P,R,F1
0.7768817204301075,0.8892307692307693,0.8292682926829268
0.7704485488126649,0.8984615384615384,0.8295454545454546
0.773841961852861,0.8738461538461538,0.8208092485549133
0.7752808988764045,0.8492307692307692,0.8105726872246697
0.776566757493188,0.8769230769230769,0.8236994219653179
0.7868852459016393,0.8861538461538462,0.833574529667149
0.7741935483870968,0.8861538461538462,0.8263988522238164
0.7653333333333333,0.8830769230769231,0.8200000000000001
0.7853107344632768,0.8553846153846154,0.8188512518409427
0.7661290322580645,0.8769230769230769,0.8177905308464849
