,P,R,F1
0,0.032258064516129,0.3333333333333333,0.0588235294117647
1,0.0289855072463768,0.2222222222222222,0.0512820512820512
2,0.015625,0.1111111111111111,0.0273972602739726
3,0.0263157894736842,0.3333333333333333,0.04878048780487804
4,0.024390243902439,0.2222222222222222,0.0439560439560439
5,0.0519480519480519,0.4444444444444444,0.0930232558139534
6,0.0128205128205128,0.1111111111111111,0.0229885057471264
7,0.0253164556962025,0.2222222222222222,0.0454545454545454
8,0.024390243902439,0.1111111111111111,0.04
9,0.0263157894736842,0.2222222222222222,0.0470588235294117
